Participant_ID,Gender,ET_GazeLeftx_mean,ET_GazeLefty_mean,ET_GazeRightx_mean,ET_GazeRighty_mean,ET_PupilLeft_mean,ET_PupilRight_mean,ET_TimeSignal_mean,ET_DistanceLeft_mean,ET_DistanceRight_mean,ET_CameraLeftX_mean,ET_CameraLeftY_mean,ET_CameraRightX_mean,ET_CameraRightY_mean,ET_ValidityLeft_mean,ET_ValidityRight_mean
1,Unknown,811.0432440972643,504.2364705014805,848.8307262034714,535.0440615413221,0.14907699073634006,0.24887078711533847,405248.4450390034,530.438046076041,539.3841409118884,0.46219220174160186,0.3585798031593287,0.3484325677130575,0.38933060312623724,0.34970814172788395,0.2607621109892436
2,Unknown,808.7039786290221,445.2051193921069,814.3481215312468,472.1213513418705,0.24026335016161626,0.3114962521882605,472650.71729513915,575.2650541301609,589.002923404639,0.4428515097089798,0.4095017948533704,0.34558622153975543,0.4412493050963696,0.30336816233546354,0.19603202526273358
3,Unknown,928.0150722907598,503.64395908188834,953.1885689005312,531.409089743936,0.6194641482365909,0.5136421965595248,925945.8945225839,602.2788964889102,602.3806504384153,0.5272507352899387,0.40944472439476987,0.3830827576469607,0.4133815057614654,0.11627980385323532,0.11115572549400014
4,Unknown,715.4042405188466,379.8154550359136,684.390050354386,385.6422732024302,0.24202607380138438,0.1552778472119997,553660.9738183856,605.2514365434736,553.3544815665848,0.22347235567168364,0.1911449351136086,0.05127096987777523,0.12499295018885577,0.765054277799085,0.9380859793435622
5,Unknown,778.2750330830645,485.97626789249097,802.3277041035238,494.25311954334353,0.4892199038392357,0.4920415152665454,848819.4495824779,603.7039831414705,596.0232775384276,0.47491850968347027,0.4160568992422418,0.3194056745038028,0.40007655596245434,0.2579018102948581,0.28631787408783455
6,Unknown,182.71587092053204,99.34311981195472,535.5128245587841,337.5496188901244,-0.660619951321951,0.49046576371399053,656864.1562160943,117.92349095517372,448.50703919839225,-0.7454393078641716,-0.7583982151699507,-0.12275459142318779,-0.09311161977403645,3.3478868889264226,1.5348129504116472
7,Unknown,808.675384470083,493.05379867255095,832.1912738992627,493.5393237907087,0.2624107218736326,0.29486844473442303,647082.123865358,597.0823665195613,598.7679496660702,0.3893876175832202,0.33880473019713375,0.27637615123384623,0.3525423050249943,0.4091018600313207,0.37222463008011825
8,Unknown,819.0921858607866,470.8486053953696,817.5194788056431,517.1153728356528,0.7252674698092763,0.795639046028561,390838.39573156537,629.2357381486584,647.5749251323632,0.47524743683919074,0.4420303320093046,0.364051782005453,0.4834426575034068,0.2120109349745342,0.09707475907080862
9,Unknown,840.6238950355406,479.8596914208685,884.4559411499305,517.0143285825401,0.2351113332153356,0.3600898663701412,669277.0799072526,552.0889974030305,559.9861083487052,0.4426890107174324,0.4638868552588723,0.33368659160122,0.5070004633248313,0.2544509996882161,0.16862806650138262
10,Unknown,769.1628570589222,492.70583610666125,803.5096538280077,501.77282553839314,0.06679664116363025,0.5780034560325161,588641.2535407515,563.4725378482526,582.3182292916749,0.4234116889316926,0.3223151809749793,0.33333272552859944,0.3722778099470875,0.4519261331370161,0.32292739745432264
11,Unknown,798.1262944076886,533.965561004527,841.6840185211538,543.1280384663065,0.24095120026810798,0.22490777278456306,758952.8365099656,449.78666416673366,463.9403462700391,0.33137431721059285,0.28517505260879555,0.23156415948293238,0.3476264677113499,0.5933718016178724,0.4148233339418217
12,Unknown,724.7957275536438,479.0607483647063,768.3675602652745,495.08894955599453,0.03800296360481849,-0.0873305932434628,664372.6838916908,474.1922708336774,464.14125715833336,0.37552399705480627,0.3836943683136205,0.21495514945061056,0.34446224512485796,0.4641726758866246,0.5634314906430737
13,Unknown,758.968282430376,519.0001480698348,749.4825499800812,542.6857511112769,0.4787029984601923,0.40321069240384605,762136.5601474242,599.5470368664801,607.2560917108763,0.4521598074553611,0.38357194065560213,0.34459123486222937,0.4020163708980858,0.29588146452439734,0.21876332438641533
14,Unknown,360.35232738411895,153.10841301192997,125.9934291018448,46.21758205300254,-0.9926182203702233,-0.9812553425392843,548493.1047966238,221.50277217256541,87.6725408657267,-0.481742459283365,-0.49459891250928156,-0.8104343620693096,-0.796282726884041,2.645729765736802,3.4536460048575264
15,Unknown,830.7504268461208,564.9026760856351,822.2127014785985,520.8509776959211,0.6346026198685879,0.545652442727151,418539.7057425228,604.3982937522485,593.9198359624826,0.495175466783066,0.37579982254875705,0.33533611010192305,0.35782950595644686,0.1879263053252887,0.24940547593193824
16,Unknown,894.0853541862535,604.6781975231584,951.9573157978522,564.8673057162678,0.7485721037070372,0.7876271696784799,502769.8188395487,643.4711638255646,646.1226621460701,0.5596400824762603,0.4413633985819887,0.4341110517388048,0.4432162295555992,0.1529683286232085,0.13897869904415067
17,Unknown,808.5158234431412,561.7832123288688,836.612992937532,532.9415097109083,0.5707902684274492,0.45423623138159624,603373.8243508029,637.4992793743302,636.7649123138384,0.47279272254529053,0.4575562289171149,0.32884759489795357,0.434890445480424,0.23089481774956216,0.2500863143763685
18,Unknown,440.80823979242996,296.50223726161164,472.87783571912746,310.5923496032085,-0.9999865289163841,-0.997602569804347,738147.9226645007,275.3045085365564,285.7879036999625,-0.1762964426195241,-0.25115664764889983,-0.23062112133811735,-0.2240621403199828,1.943869009836409,1.8658555211198176
19,Unknown,829.7945882048294,447.5653255724517,887.524051865017,514.0537541773245,0.31248981899440004,0.43742976910089787,691800.6430634615,606.2045369394785,636.3469486849315,0.4924631738852808,0.37975519792907964,0.4422589254240565,0.4431619021397769,0.31697276949257275,0.11410243810404508
20,Unknown,861.4650399587061,491.235801026732,917.0571174894185,511.00013932681395,0.46576102348161796,0.49473235536455396,360230.02656454773,614.5383165557319,627.5050125550431,0.4584465028529678,0.4189252058071716,0.3581152969487765,0.4611094057282502,0.2683882900154369,0.17519390210302357
21,Unknown,740.9716944439141,433.89608484458284,760.9102073755456,429.0288707578302,-0.05701306369053336,-2.7154774168488797e-05,845293.3426781371,442.02748737846485,451.7521745061677,0.2817796150503492,0.21331503036175922,0.18542152731784287,0.24915518797432626,0.8120654268647889,0.7176238460610022
22,Unknown,844.7113893807781,478.9742623315765,861.8161205708899,491.0548408916751,0.3409075604968714,0.3417949694621151,635315.5892818742,605.714541396783,615.0418070991841,0.45254077175968965,0.38802199474110416,0.3302185273749787,0.4107332115483004,0.3048055507020124,0.2705763811274557
23,Unknown,635.4296794971563,364.30154550790024,638.7929100480753,392.77336039099345,-0.5233844501746832,-0.5304156009448016,750114.4344408972,452.56040338301017,470.43736625839523,0.14713740681046938,0.07405755882316623,0.0771904359785427,0.11088028543276865,1.1197214021672697,1.004135182429531
24,Unknown,842.6140292876107,465.8765888964571,798.6086049685047,443.12442794757914,0.5281774359547916,0.5650812219271241,798690.5371499143,618.351298604982,580.5943360301484,0.42173858305843953,0.41011979255040215,0.22968360953247915,0.3274270396311173,0.39441266919004203,0.5921219340830949
25,Unknown,820.3434541317065,518.0377780205007,851.1183375604896,488.6209719883842,0.319855974333507,0.40767381362887334,600358.3375685653,585.7911938509557,584.8269410962633,0.43356595638289436,0.4182903670061749,0.29944523069248213,0.41432025281834717,0.2980208083868174,0.3038633669110944
26,Unknown,622.8364161650185,362.22136532789233,627.3479616682931,417.79917051366687,-0.16790618751744113,0.00026722460786863833,625156.4209039679,435.9431290085397,480.89239329112496,0.11929203577776576,0.10284232245743144,0.11550243410604388,0.23209331204852562,1.1279312463211457,0.7792070997868399
27,Unknown,742.7605485345341,429.4208766431055,828.8971856869381,519.7467286361618,0.43028552396891717,0.5317490212296505,687286.0180594468,509.3395267127673,561.1726360338446,0.36813614525355526,0.31169145801553877,0.35722397449752946,0.44841941693259046,0.4757632475987104,0.0884575086256613
28,Unknown,646.6925553460056,345.66555740396217,529.1597475877245,308.1455125133965,-0.5904067285351804,-0.5186505118910937,832184.7289279833,444.4585714206898,401.4929937623451,0.022787614552680614,-0.003952239593976883,-0.17170910620430901,-0.11229813001484121,1.3034124137133505,1.577490124743377
29,Unknown,743.3013349685258,445.4311754428042,741.5087662584132,432.8214386135479,0.29321212567273786,0.148010833846296,798775.6245821826,466.85344793280007,483.2699066883318,0.3399642745697666,0.18040033696268484,0.23846475757460206,0.20530472181443044,0.7723639236637366,0.6960966091771712
30,Unknown,876.1066867451326,501.89311375352867,901.0164284025386,508.21468561691967,0.3199712231610419,0.43602712176291636,510988.9366384128,614.5417147758767,621.135847008763,0.49872294025797165,0.4787556224700372,0.38807274012355675,0.4952811972012627,0.22509357964470897,0.17819781544623875
31,Unknown,871.0909474676544,487.4286611159628,906.1023044076077,482.8921677244811,0.2550824339629477,0.3074760407421983,697489.2196869234,594.4411693194126,604.0566542988305,0.430635344237312,0.37284981302629433,0.3124643117755476,0.3976605704370664,0.3193742110461222,0.25227828265989005
32,Unknown,723.243926691127,398.0561663008274,778.0427838730789,482.35315427047124,-0.1929551219754904,0.10682913136642835,739967.706100442,468.1311949141851,533.6837186223524,0.16001773173219203,0.15802432715829964,0.20643108942009572,0.34560819860908576,0.887020051458821,0.41221563904030495
33,Unknown,897.8965564374801,510.32656878632855,870.3347156045039,491.4687416577294,0.38378396513431645,0.2917558657097377,695574.37738854,587.454073097895,575.8096275137083,0.45656651338324855,0.4133862773868468,0.3138343494104168,0.39058801574051116,0.2570019847046285,0.296516913987821
34,Unknown,432.4823625881256,251.24739143557642,443.3885600699916,283.6098558856463,-1.0,-0.9997499057923385,700016.5850336483,286.61776617574526,301.12071135694197,-0.2644356588814238,-0.2842614965225454,-0.29813691564693756,-0.24088392703469708,2.1017023430580304,1.9812293980771563
35,Unknown,868.1714844473954,513.0468077982133,830.5021544063846,496.9807442193953,0.32607985484666085,0.21030369252912698,606417.7924991312,572.8874380340584,557.3426559476405,0.4600833081785995,0.3496183336362831,0.28024632776059016,0.3184643299825953,0.3522332644316129,0.4417308744861919
36,Unknown,876.8928443658248,515.5853657816939,901.4826344368147,518.8563433870434,0.5430213678475164,0.4759593762896262,751939.1521622903,604.592456903244,604.0341199536451,0.49701213136619204,0.4065322504118668,0.3619915720135403,0.4226880360421174,0.13444372380752156,0.1111186724542851
37,Unknown,147.87285193822632,64.70993971186066,107.1877942557157,58.187975416669616,-0.9708808069260352,-0.8692819372094991,685456.1783240462,95.19114793397242,87.14599134934454,-0.7862938057181835,-0.7749337515101423,-0.822068633037753,-0.7933458109428884,3.4461744588444256,3.494033826775749
38,Unknown,606.9344766900128,404.9853312108246,822.3840224770078,489.80817259541533,-0.764917634195576,0.11035275498309376,518423.6375673251,391.7835831218288,485.46622658053184,0.06740958522012289,0.0535818103374595,0.20878321368432526,0.32278960355042924,1.2076665542399059,0.5091287158836594
